"Title:","US Crude Oil Production from the US Crude Oil Production Database"
"SubTitle:","PAD District"
"Time:","01/1981 - 08/2022"
"Unit of Measure:","Barrels","Barrels","Barrels","Barrels","Barrels"
"Citation:","Energy Information Administration (2022-11-01). US Crude Oil Production: US Crude Oil Production | PAD District 1 - East Coast, PAD District 2 - Midwest, PAD District 3 - Gulf Coast, PAD District 4 - Rocky Mountains, PAD District 5 - West Coast, 01/1981 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  004-002-001 doi:https://doi.org/10.6068/DP18466CF9BE085"
"ColumnCount:",6
"RowCount:",500

"Time","PAD District 1 - East Coast (Barrels)","PAD District 2 - Midwest (Barrels)","PAD District 3 - Gulf Coast (Barrels)","PAD District 4 - Rocky Mountains (Barrels)","PAD District 5 - West Coast (Barrels)"
"09/2013",1385000,45850000,137959000,16650000,5441000
"10/2013",1382000,48147000,138702000,17761000,5544000
"11/2013",1420000,46681000,137734000,17572000,5540000
"12/2013",1466000,46783000,144852000,17326000,5394000
"01/2014",1453000,48451000,147166000,17792000,5644000
"02/2014",1363000,43556000,135754000,16383000,5160000
"03/2014",1519000,49590000,152325000,18937000,5940000
"04/2014",1423000,48049000,153206000,18798000,5880000
"05/2014",1519000,52461000,158711000,20015000,6237000
"06/2014",1512000,52052000,155829000,20017000,6264000
"07/2014",1632000,55534000,164038000,20908000,6434000
"08/2014",1711000,55986000,166072000,21531000,6669000
"09/2014",1814000,56209000,160561000,21101000,6672000
"10/2014",1867000,58758000,169502000,22411000,7181000
"11/2014",1929000,56594000,165684000,21581000,6740000
"12/2014",2033000,59967000,176424000,23084000,7270000
"01/2015",1701000,58986000,172410000,23144000,7295000
"02/2015",1671000,52534000,159766000,21239000,6680000
"03/2015",1807000,59780000,177099000,23914000,7640000
"04/2015",1789000,57449000,173782000,23323000,7528000
"05/2015",1952000,59944000,174619000,23757000,7456000
"06/2015",1872000,58524000,167134000,22583000,7080000
"07/2015",1874000,59488000,176587000,23409000,7291000
"08/2015",1793000,58609000,177706000,23400000,7253000
"09/2015",1680000,56264000,173031000,22299000,7019000
"10/2015",1688000,58563000,175305000,23018000,7214000
"11/2015",1574000,55891000,167905000,22000000,6932000
"12/2015",1763000,57945000,172047000,22289000,7068000
"01/2016",1451000,56051000,172682000,21841000,6743000
"02/2016",1320000,50967000,160033000,19973000,6126000
"03/2016",1376000,55537000,171453000,21013000,6525000
"04/2016",1370000,50227000,163690000,20230000,6204000
